"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf06_hpf3-61_dd1-3_lambda4_Migrat"
"05/21/2021 18:54:23:164 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"10","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2726","34","2.9910467591971552","1163"
"3","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2725","38","3.059158720224611","985"
"4","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2669","35","2.8661113169709496","1192"
"2","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2634","36","3.0415337177185853","1218"
"9","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2708","36","2.8926870098607247","1207"
"14","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2671","32","2.8259530610609995","1118"
"5","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2635","35","3.058661076867584","1284"
"13","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2694","37","2.9101177736792025","1294"
"15","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2688","33","2.6813029668703128","1140"
"1","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2685","38","2.9743200875408418","1285"
"6","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2698","36","3.011727958373313","1242"
"8","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2697","29","2.9031690019048035","1225"
"12","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2659","35","3.041055986889249","1387"
"7","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2676","31","2.997421387113631","1294"
"11","0.6","4","1.1","false","0.001","NoSelection","3","1","100","0","200","1500","0.3","false","1500","2661","37","3.0150686770917163","1238"
"21","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2665","19","2.3869472961550753","2658"
"27","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2700","20","2.5625619016613808","2708"
"24","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2695","20","2.611669236026446","2693"
"26","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2734","23","2.4667475005023003","2658"
"25","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2641","22","2.6617753895520515","2693"
"29","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2666","20","2.2913061333122275","2736"
"16","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2684","24","2.5758059536221767","2671"
"19","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2637","21","2.4509452820561752","2758"
"23","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2715","26","2.8149208786872726","2692"
"18","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2687","24","2.734780481535952","2748"
"20","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2670","23","2.6227701011435336","2732"
"22","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2691","17","2.367690792559272","2705"
"17","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2671","20","2.598461148632843","2698"
"30","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2705","25","2.5696217100387315","2719"
"28","0.6","4","1.1","false","0.001","NoSelection","9","1","100","0","200","1500","0.3","false","1500","2704","21","2.355570308096315","2785"
"41","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2646","18","2.1610245981425122","2892"
"35","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2709","27","2.7230346165381594","2881"
"33","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2651","18","2.430898615235855","2875"
"39","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2714","21","2.3233198787164953","2887"
"32","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2701","16","2.194571116291607","2883"
"44","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2736","19","2.291296677905474","2937"
"40","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2721","19","2.5112861604048806","2895"
"45","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2685","25","2.5567162075841354","2885"
"42","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2674","23","2.461873867403359","2959"
"47","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2832","21","2.310765212407416","2888"
"36","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2716","23","2.3169122596867138","2957"
"43","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2686","20","2.2485035269977307","2903"
"46","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2808","19","1.549360007609691","3008"
"31","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2637","27","2.684510604518437","2920"
"48","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2842","16","2.0592480458919047","2956"
"34","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2700","26","2.372538648231297","2916"
"38","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2670","25","2.388833913493462","2886"
"37","0.6","4","1.1","false","0.001","NoSelection","29","1","100","0","200","1500","0.3","false","1500","2682","20","2.3854397416107638","2917"
"63","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2636","30","2.9177730752353583","1088"
"61","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2704","40","3.146779193125508","1404"
"62","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2706","34","2.9319671420647664","1436"
"74","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2725","39","3.085070546803417","1184"
"65","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2700","36","2.9147296133983436","1190"
"66","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2727","33","2.856642555330381","1207"
"71","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2697","28","2.8448775880769857","1256"
"64","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2664","34","2.799167747917446","1340"
"67","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2640","39","3.061014770538663","1275"
"68","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2690","38","3.0629782893886603","1255"
"49","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2871","20","2.014957617023304","2910"
"69","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2698","36","3.1097580772445226","1315"
"72","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2704","31","2.94549687545981","1278"
"73","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2662","37","3.1295095909220496","1255"
"52","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2888","19","2.1969311978055357","2953"
"70","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2667","33","2.8476571159068897","1255"
"53","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2833","17","2.0641011295540843","2945"
"50","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2886","12","1.975795069528329","2892"
"51","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2884","20","1.7959028686517484","2915"
"54","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2850","18","1.9708258567675745","2907"
"75","0.6","4","1.1","false","0.001","Hierarchical","3","1","100","0","200","1500","0.3","false","1500","2691","39","2.8911126903352535","1301"
"55","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2827","18","2.0439601140521804","2922"
"56","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2902","18","2.3568034048254276","2931"
"57","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2868","18","2.2994331464345708","2900"
"58","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2837","20","2.306854813474596","2944"
"59","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2870","15","1.875363458842297","2908"
"60","0.6","4","1.1","false","0.001","NoSelection","61","1","100","0","200","1500","0.3","false","1500","2857","17","2.0916958420919296","2959"
"76","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2727","18","2.50927365584555","2662"
"77","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2678","16","2.2847402282525473","2680"
"78","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2676","13","1.9508200548159023","2713"
"79","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2676","18","2.1110886702334364","2714"
"80","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2622","22","2.6476307915522357","2714"
"86","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2709","15","1.900118103989109","2655"
"83","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2753","16","2.217081193107576","2695"
"85","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2679","16","2.381974469218094","2731"
"82","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2629","21","2.6853408587288317","2658"
"87","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2695","16","2.329977743962826","2749"
"90","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2728","17","2.1786024291535218","2704"
"84","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2713","15","2.0275446276584552","2720"
"81","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2676","21","2.66779977260594","2737"
"88","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2710","24","2.623924011766741","2756"
"89","0.6","4","1.1","false","0.001","Hierarchical","9","1","100","0","200","1500","0.3","false","1500","2678","19","2.317381988806622","2675"
"95","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2671","10","1.5638682211801984","2870"
"91","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2703","8","1.4609945478389694","2940"
"93","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2674","15","1.6513708241945912","2933"
"96","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2674","10","1.0829813274222975","2876"
"92","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2707","11","1.3135403400206833","2905"
"94","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2694","12","1.3713148705722298","2965"
"97","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2711","7","1.2502439870726474","2925"
"98","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2640","10","0.6492239484676866","2887"
"99","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2739","10","1.518367933610841","2956"
"105","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2701","8","1.2291548689880687","2908"
"101","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2723","7","1.1673804477771057","2895"
"102","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2704","9","1.4136113423817276","2952"
"100","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2709","8","1.1669942406460068","2905"
"104","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2688","8","0.7290557686812316","2859"
"103","0.6","4","1.1","false","0.001","Hierarchical","29","1","100","0","200","1500","0.3","false","1500","2685","11","1.2234034027862257","2933"
"106","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2885","6","0.05076699222417577","2902"
"114","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2877","10","1.0620288073877544","2964"
"115","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2844","9","1.2028762345724688","2965"
"108","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2842","12","0.8137997050124689","2923"
"112","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2824","9","1.591759067505743","2932"
"111","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2878","9","1.6002848493729223","2898"
"107","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2908","8","0.8642452408990923","2939"
"109","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2892","4","0.11373488209380064","2924"
"117","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2841","11","0.6401402145207984","2898"
"110","0.6","4","1.1","false","0.001","Hierarchical","61","1","100","0","200","1500","0.3","false","1500","2831","6","0.06576258373814492","2972"
