"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/15/2021 19:04:20:679 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"46","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1732","23","2.6487664246590494","1190"
"61","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1732","6","1.6778494529580075","36"
"63","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1689","5","1.4915928137636691","31"
"65","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1709","8","1.8636099190052386","35"
"64","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1691","7","1.8087650268886841","26"
"62","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1729","8","1.8942871583297876","25"
"49","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1625","23","2.449835923019794","1214"
"50","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1616","25","2.90818123388557","1209"
"51","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1686","21","2.247132539858722","1680"
"52","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1686","19","2.111456639683747","1573"
"53","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1626","22","2.1726893683595034","1668"
"55","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1728","23","2.5137549852025685","1637"
"54","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1752","21","2.4009007474639383","1612"
"56","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1779","13","1.6599844856623065","1637"
"57","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1778","23","2.3002616516294263","1742"
"58","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1694","23","1.9759253393514167","1697"
"82","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1740","7","1.7385149957434607","37"
"81","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1770","6","1.6488470716724797","14"
"59","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1768","19","1.674014519775391","1660"
"60","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1787","12","1.660160565821373","1797"
"84","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1687","8","1.7107836322142913","32"
"83","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1722","6","1.524553715821179","41"
"85","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","1600","1782","4","1.2490828438192965","26"
"67","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1688","20","2.386399848971186","1191"
"68","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1637","20","2.468754974450468","1179"
"66","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1669","22","2.073241915794441","1259"
"69","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1762","16","2.0728058426164653","1144"
"70","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1735","18","2.0321497952570478","1281"
"73","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1693","16","1.911197166227098","1573"
"71","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1758","17","2.1499524162726393","1712"
"72","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1692","13","1.6148629108596655","1626"
"75","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1655","15","1.6058094937730356","1668"
"74","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1716","17","2.0994380238640757","1757"
"80","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1784","19","1.9233618907976924","1761"
"79","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1817","19","2.057310835520944","1725"
"87","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1759","15","1.9300507322541902","1219"
"76","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1838","15","2.101960951617482","1816"
"77","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1947","23","2.3120199102859367","1757"
"86","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1712","23","2.437237402862509","1175"
"89","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1769","17","2.212830671313988","1192"
"78","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1897","15","1.0887136723017192","1802"
"88","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1719","12","1.446073344656337","1206"
"90","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","1600","1766","18","2.0899471740425914","1189"
"91","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1781","14","1.789647680008461","1667"
"95","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1775","19","1.9163802103754144","1675"
"92","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1802","20","2.1468720495170963","1641"
"93","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1672","12","1.7277969922990601","1697"
"94","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","1600","1777","13","1.0438777976748326","1805"
"96","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1860","14","1.4110270834162166","1722"
"99","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1961","15","1.5462353664598598","1731"
"100","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1862","16","1.789462086507889","1739"
"98","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1945","14","1.6317998869925079","1771"
"97","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","1600","1917","19","2.049929865619309","1780"
