[run number],birds-dispersal-distance,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,siminputrow
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,40,2.8321469214674844,6723,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,42,2.786796314663464,8870,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,23,1.8808413997745328,12873,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,11,0.7095061553738683,14339,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,16,0.08188796174287252,15317,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,38,2.725570899964436,15307,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,38,2.5835698948000165,16394,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,13,1.7062249386476247,18157,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,10,0.6525324577624355,18855,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2109436217,1500,0,5,0.01745202748994497,19340,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,51,2.77460423306235,6583,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,44,2.700292839736744,9163,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,24,1.6994843118476797,12933,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,15,1.1609241436971884,14697,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,5,0.0233283983098027,15151,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,Hierarchical,0.3,-2025299967,1500,0,41,2.683032049534835,15139,6
