"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3"
"05/15/2021 13:26:17:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"50","0.6","4","1.5","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3435","15","2.28005828163734","3804"
"53","0.6","4","1.5","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3458","11","2.136361512833182","3827"
"52","0.6","4","1.5","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3455","10","2.0069833114440128","3827"
"51","0.6","4","1.5","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3449","10","1.9723632283077284","3809"
"49","0.6","4","1.5","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3453","13","2.251373524592026","3789"
"56","0.6","4","1.5","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3670","7","1.513367953483455","3820"
"55","0.6","4","1.5","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3466","7","1.708237479868935","3811"
"54","0.6","4","1.5","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3419","9","1.8674103860065971","3825"
"59","0.6","4","1.5","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3687","11","2.004140872733137","3845"
"57","0.6","4","1.5","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3685","8","1.6834078052965409","3824"
"58","0.6","4","1.5","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3700","10","1.8704002810643208","3837"
"60","0.6","4","1.5","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3682","8","1.3226911322822001","3839"
"61","0.6","4","2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3495","8","1.8250843160728165","3818"
"63","0.6","4","2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3518","7","1.7992165700252218","3775"
"62","0.6","4","2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3523","10","1.7799647651472386","3807"
"64","0.6","4","2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3500","9","1.730108430078796","3806"
"65","0.6","4","2","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3504","9","1.534088158708373","3797"
"66","0.6","4","2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3506","12","1.9261996891739632","3832"
"70","0.6","4","2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3483","9","1.9207213174022533","3831"
"69","0.6","4","2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3521","10","2.0458685355504196","3837"
"67","0.6","4","2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3491","9","1.8045871176425057","3834"
"68","0.6","4","2","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3491","9","1.670464693029662","3846"
"71","0.6","4","2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3493","8","1.7866847976005904","3859"
"72","0.6","4","2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3504","9","1.7234079406183405","3849"
"74","0.6","4","2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3499","11","1.9671620425399208","3887"
"73","0.6","4","2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3497","13","2.0064684347786073","3864"
"77","0.6","4","2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3744","9","1.9567012913992825","3876"
"75","0.6","4","2","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3486","8","1.7112460707579726","3898"
"80","0.6","4","2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3733","11","1.999273513549264","3887"
"79","0.6","4","2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3742","10","1.9890491719132881","3875"
"76","0.6","4","2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3754","8","1.436486389861813","3896"
"78","0.6","4","2","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3748","8","1.786532850824741","3870"
