"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.1-4"
"06/29/2021 18:41:12:282 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"74","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","17","2.5537626481118547","96"
"76","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","14","2.258173745218265","64"
"66","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","20","2.7291362156640573","99"
"71","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","13","2.340275903180304","67"
"65","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","19","2.7799047362489175","80"
"70","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","11","2.1467138071482577","54"
"78","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","18","2.4810864110546254","92"
"72","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","18","2.7458724668270436","68"
"64","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","11","2.200936482187776","48"
"67","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","14","2.497046440573505","89"
