"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/19/2021 12:14:14:164 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"48","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1674","13","2.455520784720772","1184"
"46","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1624","13","2.2642546738570193","1223"
"62","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1695","0","0","0"
"61","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1723","0","0","0"
"63","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1774","0","0","0"
"65","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1648","0","0","0"
"64","0.6","2","2","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1666","0","0","0"
"50","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1737","13","2.2769465452039843","1101"
"49","0.6","2","1.5","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1670","13","2.289505930477325","1122"
"51","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1570","6","1.516345373146261","1583"
"52","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1659","5","1.4768044574155348","1730"
"53","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1593","5","1.562304228994648","1554"
"54","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1648","8","1.654163034474902","1600"
"55","0.6","2","1.5","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1655","7","1.7400616922591248","1698"
"56","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1714","5","1.3757061937663904","1638"
"58","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1756","7","1.271178952299511","1687"
"57","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1789","4","0.8283451974159853","1705"
"59","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1767","4","1.2387460801692798","1726"
"81","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1737","0","0","0"
"82","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1737","0","0","0"
"60","0.6","2","1.5","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1649","6","1.685763226472627","1741"
"83","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1754","0","0","0"
"85","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1712","0","0","0"
"68","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1741","9","1.8013183251960323","1332"
"66","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1758","7","1.7433082960356006","1306"
"67","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1705","10","1.7143922448528985","1255"
"84","0.6","2","3","false","0.001","NoSelection","3","1","100","0","300","1600","0.3","true","1600","1771","0","0","0"
"70","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1675","8","1.4430145989756658","1243"
"69","0.6","2","2","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1674","8","1.7766678721118292","1160"
"71","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1615","6","1.7365429743429441","1731"
"73","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1671","3","1.0773313828196591","1677"
"72","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1741","5","1.5528145687544106","1738"
"74","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1679","6","1.5307287643389245","1734"
"75","0.6","2","2","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1723","5","1.56242507078013","1779"
"80","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1818","4","0.9400276606954587","1746"
"76","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1807","5","1.3097908341709639","1831"
"77","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1851","5","1.3552113909540724","1776"
