"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3"
"05/15/2021 13:56:00:912 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"50","0.6","4","1.5","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2696","23","2.601709366310115","2703"
"52","0.6","4","1.5","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2692","17","2.0521735580606495","2919"
"51","0.6","4","1.5","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2696","19","1.9627739591187665","2899"
"53","0.6","4","1.5","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2691","17","2.201890353117069","2925"
"54","0.6","4","1.5","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2713","20","2.3138418051666827","2893"
"55","0.6","4","1.5","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2706","20","2.3080155130042903","2832"
"56","0.6","4","1.5","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2876","13","1.8034779591339003","2933"
"58","0.6","4","1.5","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2892","17","2.2189320632151297","2975"
"57","0.6","4","1.5","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2868","14","2.2054005040038542","2950"
"61","0.6","4","2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2670","17","1.509021562957351","2107"
"65","0.6","4","2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2667","19","1.9922716041345776","2155"
"62","0.6","4","2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2708","28","2.576823690282613","2182"
"63","0.6","4","2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2681","23","2.1115404177660615","2102"
"64","0.6","4","2","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2667","26","2.4982742729873126","2193"
"59","0.6","4","1.5","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2877","18","1.9944534519618133","2982"
"60","0.6","4","1.5","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2934","17","1.9475848374059481","2920"
"67","0.6","4","2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2697","14","1.7623379620172797","2670"
"66","0.6","4","2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2719","15","2.075787099602633","2626"
"69","0.6","4","2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2740","20","2.419494923284746","2653"
"70","0.6","4","2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2701","17","2.3030114112553464","2705"
"68","0.6","4","2","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2732","16","2.0030545255580017","2670"
"73","0.6","4","2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2667","23","2.0634290177600474","2896"
"84","0.6","4","3","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2683","20","2.4769838418630914","2073"
"74","0.6","4","2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2704","16","1.8891461816609623","2882"
"71","0.6","4","2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2697","15","2.1226436948081937","2930"
"81","0.6","4","3","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2699","14","1.7914532597986923","2131"
"82","0.6","4","3","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2631","22","2.313697746515254","2135"
"75","0.6","4","2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2681","17","1.784812721447307","2849"
"72","0.6","4","2","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2692","12","1.7173467289119972","2828"
"83","0.6","4","3","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2699","17","1.827790996278908","2118"
"85","0.6","4","3","false","0.001","NoSelection","3","1","100","0","200","0.3","1500","2615","16","2.303145310850558","2055"
"79","0.6","4","2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2885","16","2.081540825751213","2951"
"77","0.6","4","2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2955","13","2.196952757872029","2949"
"80","0.6","4","2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2892","18","1.8072836105277192","2981"
"76","0.6","4","2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2945","21","2.0666756445809327","2918"
"78","0.6","4","2","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2870","11","1.7389055506701405","2902"
"89","0.6","4","3","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2694","15","2.4275162687780134","2660"
"86","0.6","4","3","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2719","17","1.9231976386859586","2534"
"87","0.6","4","3","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2715","13","1.612477119864302","2587"
"88","0.6","4","3","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2664","19","2.24125584722031","2645"
"90","0.6","4","3","false","0.001","NoSelection","9","1","100","0","200","0.3","1500","2694","13","1.79881319241722","2634"
"92","0.6","4","3","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2712","15","2.1837263189352787","2862"
"95","0.6","4","3","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2741","12","1.568018803375778","2949"
"94","0.6","4","3","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2659","11","1.4550210180194467","2826"
"93","0.6","4","3","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2672","16","2.099378519387704","2854"
"91","0.6","4","3","false","0.001","NoSelection","29","1","100","0","200","0.3","1500","2662","13","1.7479781058907435","2882"
"96","0.6","4","3","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2837","15","1.776248006064473","2885"
"97","0.6","4","3","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2865","10","1.425825398142311","2898"
"99","0.6","4","3","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2913","14","1.9581567274260063","2954"
"98","0.6","4","3","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2927","17","1.9406439473019792","2947"
"100","0.6","4","3","false","0.001","NoSelection","61","1","100","0","200","0.3","1500","2841","19","2.1391854461557633","2876"
