"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/15/2021 19:13:07:604 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"46","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3201","17","2.272800293746325","3407"
"48","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3231","14","1.9990148327253856","3380"
"47","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3145","18","2.5448473285573465","3401"
"49","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3182","14","2.2102412748033644","3522"
"50","0.6","2","1.5","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3195","10","2.031169551811228","3405"
"51","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3172","13","1.9943782130149221","3511"
"52","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3197","13","2.240200670869099","3515"
"53","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3136","13","2.085198735177409","3507"
"54","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3182","10","1.9352034216498872","3537"
"55","0.6","2","1.5","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3226","11","1.6108872724457908","3493"
"57","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3387","11","2.014835738748526","3504"
"56","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3455","9","1.4224617711552225","3524"
"58","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3430","13","1.7339411641670521","3564"
"59","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3388","15","1.7169962385533133","3546"
"60","0.6","2","1.5","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3383","16","2.2111680587981835","3511"
"62","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3314","13","1.8910984774824409","3375"
"61","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3317","8","1.288283869875046","3380"
"63","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3249","11","1.9290654682034125","3396"
"64","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3268","11","2.034065159500015","3315"
"65","0.6","2","2","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3250","10","1.7576859771717914","3484"
"67","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3307","13","1.9935848334439297","3539"
"69","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3286","8","1.6655834633551785","3527"
"66","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3312","11","1.9212005402481942","3571"
"68","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3250","9","1.6788751937773332","3566"
"70","0.6","2","2","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3285","13","1.8196424608854083","3502"
"72","0.6","2","2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3270","10","2.047812633568755","3659"
"71","0.6","2","2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3326","9","1.5142253839977673","3652"
"73","0.6","2","2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3277","11","1.9003942344322378","3621"
"74","0.6","2","2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3252","8","1.4410099303340957","3612"
"78","0.6","2","2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3522","6","1.1440420052838776","3673"
"76","0.6","2","2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3501","10","1.8582705451786106","3651"
"77","0.6","2","2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3503","10","1.3788289567334164","3646"
"80","0.6","2","2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3538","10","1.8302408488172237","3624"
"75","0.6","2","2","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3248","10","1.6300234973754453","3602"
"79","0.6","2","2","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3486","12","1.8553807788081755","3626"
"83","0.6","2","3","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3346","9","1.8164475988090325","3558"
"81","0.6","2","3","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3366","8","1.7495086639632922","3507"
"85","0.6","2","3","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3367","7","1.6494900817481466","3531"
"82","0.6","2","3","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3357","5","1.24725250375435","3472"
"86","0.6","2","3","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3374","7","1.275023502096134","3596"
"88","0.6","2","3","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3369","14","1.8811358615917333","3589"
"87","0.6","2","3","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3367","10","1.5094982730518445","3642"
"90","0.6","2","3","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3403","5","0.883072983116028","3631"
"84","0.6","2","3","false","0.001","BirthSelection","3","1","100","0","300","1600","0.3","1600","3370","6","0.6927662637037986","3507"
"89","0.6","2","3","false","0.001","BirthSelection","9","1","100","0","300","1600","0.3","1600","3334","6","1.5200087299361111","3629"
"91","0.6","2","3","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3317","9","1.5990372452558537","3724"
"93","0.6","2","3","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3357","11","1.97611912553391","3692"
"92","0.6","2","3","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3356","11","1.8621252884587656","3686"
"94","0.6","2","3","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3358","8","1.673833669545582","3688"
"95","0.6","2","3","false","0.001","BirthSelection","29","1","100","0","300","1600","0.3","1600","3365","11","1.7708735892936822","3730"
"96","0.6","2","3","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3577","9","1.7176958069204469","3687"
"97","0.6","2","3","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3568","9","1.4327260339811347","3711"
"98","0.6","2","3","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3548","10","1.7401287367645057","3688"
"100","0.6","2","3","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3601","7","1.508052487246109","3676"
"99","0.6","2","3","false","0.001","BirthSelection","61","1","100","0","300","1600","0.3","1600","3607","12","2.0483490360443435","3717"
